datetime,direction,location,rate,pbm_rate
01/24/2018 05:30,NB,2222 to Parmer,0.25,0.33
01/24/2018 05:30,NB,CVZ to 183,0.25,0.33
01/24/2018 05:30,NB,CVZ to Parmer,0.5,0.66
01/24/2018 05:30,SB,2222 to 5th/CVZ,0.25,0.33
01/24/2018 05:30,SB,Parmer to 2222,0.25,0.33
01/24/2018 05:30,SB,Parmer to 5th/CVZ,0.5,0.66
02/07/2018 00:30,NB,2222 to Parmer,0.25,0.33
02/07/2018 00:30,NB,CVZ to 183,0.25,0.33
02/07/2018 00:30,NB,CVZ to Parmer,0.5,0.66
02/07/2018 00:30,SB,2222 to 5th/CVZ,0.25,0.33
02/07/2018 00:30,SB,Parmer to 2222,0.25,0.33
02/07/2018 00:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/30/2018 17:30,NB,2222 to Parmer,2.23,2.96
01/30/2018 17:30,NB,CVZ to 183,4.27,5.67
01/30/2018 17:30,NB,CVZ to Parmer,6.5,8.64
01/30/2018 17:30,SB,2222 to 5th/CVZ,4.19,5.57
01/30/2018 17:30,SB,Parmer to 2222,0.25,0.33
01/30/2018 17:30,SB,Parmer to 5th/CVZ,4.44,5.9
02/02/2018 07:00,NB,2222 to Parmer,0.25,0.33
02/02/2018 07:00,NB,CVZ to 183,0.25,0.33
02/02/2018 07:00,NB,CVZ to Parmer,0.5,0.66
02/02/2018 07:00,SB,2222 to 5th/CVZ,1.27,1.68
02/02/2018 07:00,SB,Parmer to 2222,0.96,1.27
02/02/2018 07:00,SB,Parmer to 5th/CVZ,2.23,2.96
01/22/2018 16:30,NB,2222 to Parmer,1.03,1.36
01/22/2018 16:30,NB,CVZ to 183,3.68,4.89
01/22/2018 16:30,NB,CVZ to Parmer,4.21,5.59
01/22/2018 16:30,SB,2222 to 5th/CVZ,3.17,4.21
01/22/2018 16:30,SB,Parmer to 2222,0.25,0.33
01/22/2018 16:30,SB,Parmer to 5th/CVZ,3.42,4.54
01/18/2018 00:00,NB,2222 to Parmer,0.25,0.33
01/18/2018 00:00,NB,CVZ to 183,0.25,0.33
01/18/2018 00:00,NB,CVZ to Parmer,0.5,0.66
01/18/2018 00:00,SB,2222 to 5th/CVZ,0.25,0.33
01/18/2018 00:00,SB,Parmer to 2222,0.25,0.33
01/18/2018 00:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/09/2018 14:00,NB,2222 to Parmer,0.25,0.33
01/09/2018 14:00,NB,CVZ to 183,0.25,0.33
01/09/2018 14:00,NB,CVZ to Parmer,0.5,0.66
01/09/2018 14:00,SB,2222 to 5th/CVZ,0.25,0.33
01/09/2018 14:00,SB,Parmer to 2222,0.25,0.33
01/09/2018 14:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/09/2018 12:30,NB,2222 to Parmer,0.25,0.33
01/09/2018 12:30,NB,CVZ to 183,0.25,0.33
01/09/2018 12:30,NB,CVZ to Parmer,0.5,0.66
01/09/2018 12:30,SB,2222 to 5th/CVZ,0.25,0.33
01/09/2018 12:30,SB,Parmer to 2222,0.25,0.33
01/09/2018 12:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/01/2018 09:00,NB,2222 to Parmer,0.25,0.33
01/01/2018 09:00,NB,CVZ to 183,0.25,0.33
01/01/2018 09:00,NB,CVZ to Parmer,0.5,0.66
01/01/2018 09:00,SB,2222 to 5th/CVZ,0.25,0.33
01/01/2018 09:00,SB,Parmer to 2222,0.25,0.33
01/01/2018 09:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/24/2018 13:30,NB,2222 to Parmer,0.25,0.33
01/24/2018 13:30,NB,CVZ to 183,0.25,0.33
01/24/2018 13:30,NB,CVZ to Parmer,0.5,0.66
01/24/2018 13:30,SB,2222 to 5th/CVZ,0.25,0.33
01/24/2018 13:30,SB,Parmer to 2222,0.25,0.33
01/24/2018 13:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/11/2018 12:00,NB,2222 to Parmer,0.25,0.33
01/11/2018 12:00,NB,CVZ to 183,0.25,0.33
01/11/2018 12:00,NB,CVZ to Parmer,0.5,0.66
01/11/2018 12:00,SB,2222 to 5th/CVZ,0.25,0.33
01/11/2018 12:00,SB,Parmer to 2222,0.25,0.33
01/11/2018 12:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/28/2018 09:30,NB,2222 to Parmer,0.25,0.33
01/28/2018 09:30,NB,CVZ to 183,0.25,0.33
01/28/2018 09:30,NB,CVZ to Parmer,0.5,0.66
01/28/2018 09:30,SB,2222 to 5th/CVZ,0.25,0.33
01/28/2018 09:30,SB,Parmer to 2222,0.25,0.33
